 


  
  

NCAA Men's Basketball
Division IBlocked Shots Per Game
Through Games 03/08/2019


"Rank","Name","GM","W-L","BLKS","BKPG"
"208","Milwaukee","31","9-22","94","3.0"
"","Stetson","31","7-24","94","3.0"
"210","Maine","31","5-26","93","3.0"
"","Loyola Marymount","31","20-11","93","3.0"
"","Eastern Wash.","30","13-17","90","3.0"
"","George Mason","30","16-14","90","3.0"
"","Texas Southern","30","19-11","90","3.0"
"215","Gardner-Webb","33","22-11","98","3.0"
"216","Towson","31","10-21","92","3.0"
"217","Wofford","30","26-4","89","3.0"
"","Villanova","30","22-8","89","3.0"
"","Sam Houston St.","30","20-10","89","3.0"
"","Northern Colo.","30","21-9","89","3.0"
"221","USC Upstate","32","6-26","94","2.9"
"","Monmouth","32","12-20","94","2.9"
"223","High Point","31","16-15","91","2.9"
"224","UT Arlington","30","15-15","88","2.9"
"","A&M-Corpus Christi","30","13-17","88","2.9"
"","Richmond","30","12-18","88","2.9"
"","Montana","30","22-8","88","2.9"
"","Savannah St.","30","11-19","88","2.9"
"229","Louisville","30","19-11","87","2.9"
"","Saint Francis (PA)","30","17-13","87","2.9"
"231","North Dakota","29","12-17","84","2.9"
"232","UTEP","28","8-20","81","2.9"
"","Idaho St.","28","10-18","81","2.9"
"234","Oakland","32","16-16","92","2.9"
"235","Little Rock","30","10-20","86","2.9"
"236","Pepperdine","32","15-17","91","2.8"
"237","UT Martin","31","12-19","88","2.8"
"238","George Washington","30","8-22","85","2.8"
"","Fla. Atlantic","30","17-13","85","2.8"
"","Washington St.","30","11-19","85","2.8"
"","UMKC","30","10-20","85","2.8"
"242","Columbia","27","10-17","76","2.8"
"243","Miami (OH)","31","15-16","87","2.8"
"","Siena","31","16-15","87","2.8"
"245","Abilene Christian","30","24-6","84","2.8"
"","Iona","30","15-15","84","2.8"
"247","UTRGV","33","18-15","92","2.8"
"248","Evansville","32","11-21","89","2.8"
"249","UNC Asheville","31","4-27","86","2.8"
"250","Winthrop","30","18-12","83","2.8"
"","Massachusetts","30","11-19","83","2.8"
"252","Lipscomb","31","25-6","85","2.7"
"253","Wyoming","30","7-23","82","2.7"
"254","NJIT","33","21-12","90","2.7"
"255","N.C. Central","29","15-14","79","2.7"
"256","Appalachian St.","30","11-19","81","2.7"
"257","Liberty","33","27-6","89","2.7"
"258","Princeton","26","16-10","70","2.7"
"259","UMass Lowell","31","15-16","83","2.7"
"","Bowling Green","31","20-11","83","2.7"
"261","Mercer","30","11-19","80","2.7"
"262","Illinois","30","11-19","79","2.6"
"","Middle Tenn.","30","10-20","79","2.6"
"264","Utah","29","16-13","76","2.6"
"265","Bryant","30","10-20","78","2.6"
"","Denver","30","8-22","78","2.6"
"","UTSA","30","17-13","78","2.6"
"","Tennessee St.","30","9-21","78","2.6"
"269","Robert Morris","32","17-15","83","2.6"
"270","Wake Forest","29","11-18","75","2.6"
"271","Southern U.","30","6-24","76","2.5"
"","Creighton","30","17-13","76","2.5"
"273","Coastal Caro.","29","15-14","73","2.5"
"274","Saint Mary's (CA)","31","20-11","78","2.5"
"275","New Mexico St.","30","26-4","75","2.5"
"","Ohio St.","30","18-12","75","2.5"
"277","Chattanooga","31","12-19","77","2.5"
"","Detroit Mercy","31","11-20","77","2.5"
"","Delaware","31","16-15","77","2.5"
"280","Penn","29","18-11","72","2.5"
"281","Southeastern La.","30","16-14","74","2.5"
"","Colorado St.","30","12-18","74","2.5"
"283","Albany (NY)","31","12-19","76","2.5"
"","Western Mich.","31","8-23","76","2.5"
"285","Manhattan","32","11-21","78","2.4"
"286","Southeast Mo. St.","31","10-21","75","2.4"
"287","Dayton","30","20-10","72","2.4"
"288","UMBC","31","19-12","74","2.4"
"289","North Texas","30","20-10","71","2.4"
"","UAB","30","17-13","71","2.4"
"","Utah Valley","30","22-8","71","2.4"
"","Lehigh","30","20-10","71","2.4"
"293","Indiana St.","31","15-16","73","2.4"
"294","South Dakota","29","13-16","67","2.3"
"295","North Dakota St.","30","15-15","69","2.3"
"","Davidson","30","22-8","69","2.3"
"","Texas St.","30","23-7","69","2.3"
"","Temple","30","22-8","69","2.3"
"","Tulsa","30","18-12","69","2.3"
"300","Loyola Maryland","32","11-21","73","2.3"
"","Loyola Chicago","32","20-12","73","2.3"
"302","Grand Canyon","29","18-11","66","2.3"
"303","Virginia Tech","30","23-7","68","2.3"
"304","Col. of Charleston","31","23-8","70","2.3"
"","Northern Ill.","31","15-16","70","2.3"
"","SIUE","31","10-21","70","2.3"
"","UMES","31","7-24","70","2.3"
"308","UC Davis","29","11-18","65","2.2"
"309","Mississippi Val.","31","6-25","69","2.2"
"310","Boston U.","33","15-18","73","2.2"
"311","Arizona","30","17-13","66","2.2"
"","Kansas St.","30","23-7","66","2.2"
"313","UNI","32","15-17","70","2.2"
"314","Northern Ariz.","29","9-20","63","2.2"
"315","Northeastern","30","20-10","65","2.2"
"316","Delaware St.","29","5-24","62","2.1"
"317","Chicago St.","30","3-27","64","2.1"
"318","Longwood","32","15-17","68","2.1"
"319","Hawaii","29","17-12","61","2.1"
"320","Boise St.","30","11-19","63","2.1"
"321","La.-Monroe","29","15-14","60","2.1"
"322","Hartford","31","17-14","64","2.1"
"323","Fairfield","31","9-22","63","2.0"
"324","Presbyterian","33","18-15","67","2.0"
"325","Quinnipiac","29","16-13","58","2.0"
"326","Wright St.","32","20-12","63","2.0"
"327","VMI","31","11-20","61","2.0"
"328","Butler","30","16-14","59","2.0"
"329","Drexel","31","13-18","60","1.9"
"330","Navy","30","12-18","57","1.9"
"331","South Dakota St.","31","24-7","58","1.9"
"","UNCW","31","9-22","58","1.9"
"333","Omaha","29","19-10","54","1.9"
"334","Houston Baptist","28","12-16","52","1.9"
"335","New Hampshire","29","5-24","53","1.8"
"336","South Carolina St.","32","7-25","58","1.8"
"337","Elon","31","11-20","56","1.8"
"338","UC Riverside","31","9-22","55","1.8"
"339","Air Force","29","13-16","51","1.8"
"340","Marist","31","12-19","53","1.7"
"341","Idaho","30","5-25","51","1.7"
"","Incarnate Word","30","6-24","51","1.7"
"343","Missouri","29","14-15","49","1.7"
"344","Western Caro.","32","7-25","53","1.7"
"345","Morgan St.","29","9-20","48","1.7"
"","San Jose St.","29","4-25","48","1.7"
"347","Prairie View","30","18-12","48","1.6"
"348","Alabama A&M","31","5-26","49","1.6"
"349","Army West Point","32","13-19","50","1.6"
"350","Montana St.","29","14-15","43","1.5"
"351","Pacific","32","14-18","46","1.4"
Reclassifying
"NR","California Baptist","29","16-13","81","2.8"
"NR","North Ala.","32","10-22","74","2.3"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
